,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2015-01-01,0.889,166,232,493,54%,57%,13.77%,11.99%,19.28%,74,74,3247,3.5,4.1,913,245,153,92,172,2190,128,250,2591,138,163,227,1937,835,174,0,0,915,126,83,43,223,0,0,0,152234
2015-01-02,0.68,203,401,804,47%,44%,14.2%,12.05%,21.54%,327,327,7812,4.5,7,2741,547,303,244,443,4984,329,559,5980,355,411,507,4380,1562,302,0,0,1718,244,160,84,390,0,0,0,349049
2015-01-03,0.831,167,265,644,50%,47%,10.69%,8.47%,18.4%,123,123,4626,3.6,4.6,1328,265,151,114,275,3099,231,339,3626,236,250,302,2742,1191,217,0,0,1291,138,85,53,288,0,0,0,216124
2015-01-04,0.863,170,227,755,49%,48%,13.2%,11.42%,19.58%,136,53,5812,3.8,4.1,1369,343,235,108,319,3607,289,416,4436,313,290,386,3374,1398,245,0,0,1545,204,138,66,337,0,0,0,263096
2015-01-05,0.623,255,425,1458,43%,41%,15.89%,13.2%,23.31%,375,375,17726,5.2,7.6,6870,1486,781,705,1029,12201,500,1223,13908,815,947,1106,9459,3087,720,0,0,3405,541,330,211,905,0,0,0,869474
2015-01-06,0.68,199,384,1954,45%,36%,14.68%,12.28%,23.89%,157,157,18358,4.2,6.3,5734,1415,735,680,1119,12170,500,1334,14140,1035,1015,1201,10278,4061,710,0,0,4381,643,427,216,904,0,0,0,869716
2015-01-07,0.667,246,387,1352,44%,40%,16.31%,14.06%,22.4%,732,259,15404,5,6.6,5467,1126,563,563,891,10425,500,1076,12017,746,802,970,8344,2728,623,0,0,3060,499,314,185,826,0,0,0,752229
2015-01-08,0.672,220,328,1266,44%,39%,19.56%,17.4%,25.25%,158,148,12789,4.4,6.1,4815,1388,759,629,862,8433,500,824,9939,673,729,722,7048,2595,607,0,0,2878,563,363,200,792,0,0,0,632550
2015-01-09,0.648,234,356,1114,45%,38%,22.32%,20.17%,27.82%,147,96,11789,4.7,6.1,4295,1314,755,559,629,8026,500,756,9257,636,584,660,6575,2246,530,0,0,2496,557,362,195,701,0,0,0,584485
2015-01-10,0.775,181,271,600,48%,49%,19.27%,17.15%,26.48%,151,151,5028,4,5.1,1473,516,339,177,267,3298,213,328,4035,222,250,287,2938,1156,229,0,0,1261,243,167,76,287,0,0,0,227757
2015-01-11,0.677,180,279,584,46%,43%,18.63%,14.98%,30.46%,115,115,5340,4.2,5.2,1557,557,355,202,280,3358,208,406,4256,222,255,359,3176,1166,223,0,0,1283,239,147,92,302,0,0,0,230526
2015-01-12,0.549,289,510,1457,39%,32%,29.69%,26.28%,38.59%,287,287,20367,5.4,7.6,7940,3275,1800,1475,797,14661,500,1221,16852,941,717,1085,10995,3322,745,0,0,3756,1115,714,401,1039,0,0,0,1084905
2015-01-13,0.635,299,522,1703,40%,34%,33.85%,30.39%,42.31%,427,427,23880,5.6,7.7,9556,4100,2192,1908,1008,16275,500,1428,19429,903,884,1264,12630,3774,890,0,0,4298,1455,927,528,1248,0,0,0,1284233
2015-01-14,0.605,358,631,1821,38%,32%,43.43%,39.61%,52.55%,665,400,30917,6.4,8.9,12718,7446,4047,3399,889,22276,500,1688,26454,972,794,1470,15565,4260,1045,0,0,4854,2108,1356,752,1431,0,0,0,1738940
2015-01-15,0.704,236,417,1404,44%,38%,21.36%,16.79%,32.21%,230,135,14276,4.5,6,5728,1336,665,671,775,9373,500,1030,10757,823,693,901,7677,2882,741,0,0,3207,685,379,306,950,0,0,0,758361
2015-01-16,0.68,218,326,1261,41%,38%,20.75%,15.54%,34.35%,397,140,14051,4.6,5.2,4394,1356,716,640,1000,9086,500,1037,10615,761,877,933,7536,2793,665,0,0,3079,639,346,293,853,0,0,0,669702
