date,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2016-01-01,0.521,205,249,775,51%,53%,25.13%,24.19%,28.66%,3484,451,12857,8.4,6.1,1968,747,553,194,397,3311,500,545,6499,5416,241,445,4670,1390,238,25,11,1528,384,292,92,321,0,0,0,313636
2016-01-02,0.464,235,458,979,49%,45%,25.1%,23.58%,30.75%,2100,2100,15826,7.9,11.8,5040,1431,956,475,507,5334,500,639,9780,4900,357,517,6725,1849,331,92,53,2008,504,373,131,426,0,0,0,471277
2016-01-03,0.459,232,346,1169,45%,43%,30.66%,28.55%,38.15%,1202,242,25943,9.9,8.5,4901,3183,2043,1140,676,7337,500,782,14321,10164,472,658,10254,2381,449,205,83,2616,802,583,219,574,0,0,0,605874
2016-01-04,0.435,257,372,2238,42%,37%,24.36%,22.92%,28.31%,1851,283,56875,10.7,8,11259,4088,2547,1541,1879,15891,500,1889,30239,22868,1291,1458,20999,4730,1100,267,124,5304,1292,892,400,1413,0,0,0,1362364
2016-01-05,0.453,231,342,2327,44%,41%,20.97%,18.71%,27.16%,5513,310,55917,10.5,7.2,10189,3523,1977,1546,1888,14641,500,1835,28542,23652,1290,1503,19421,4742,1093,201,104,5312,1114,728,386,1421,0,0,0,1228148
2016-01-06,0.483,215,344,1995,45%,43%,16.03%,15.17%,18.39%,4149,1332,47247,10.6,6.8,8113,1530,986,544,1705,11382,500,1560,23496,20486,1211,1242,15690,4036,925,53,26,4453,714,495,219,1191,0,0,0,959309
2016-01-07,0.431,225,357,2003,43%,39%,15.99%,14.65%,19.67%,5188,2296,55567,12,9.7,11881,1605,1032,573,1722,12807,500,1741,28604,23500,1172,1416,19892,4187,1001,68,32,4629,740,498,242,1230,0,0,0,1042637
2016-01-08,0.464,214,319,1858,46%,45%,14.57%,14.6%,14.49%,2953,2051,42041,10.3,8.1,9066,1219,811,408,1566,10363,500,1322,21700,17453,1036,1119,14762,3651,859,46,29,4064,592,430,162,1118,0,0,0,871073
2016-01-09,0.55,219,288,926,50%,56%,15.6%,15.56%,15.75%,5361,3045,19296,10.4,11.9,5007,569,410,159,536,4492,500,678,8678,9404,372,518,5616,1704,323,16,10,1859,290,224,66,419,0,0,0,407226
2016-01-10,0.552,185,327,1100,50%,51%,15.34%,15.38%,15.19%,3759,2339,20324,9.2,10.1,4006,530,426,104,550,4418,500,616,8914,10244,412,503,5720,2065,328,14,5,2203,338,278,60,395,0,0,0,408437
2016-01-11,0.457,212,334,2072,43%,41%,13.98%,13.95%,14.07%,5539,5539,49506,10.3,11.6,13174,1302,947,355,1920,12091,500,1755,22823,23008,1380,1406,14984,4420,916,40,22,4814,673,513,160,1137,0,0,0,1021556
2016-01-12,0.488,194,294,2275,44%,43%,12.72%,13.25%,11.12%,7073,3044,57887,11.2,7.4,9448,1247,1011,236,1968,12434,500,1635,30961,23323,1450,1378,21716,4703,1035,44,22,5171,658,516,142,1277,0,0,0,1003902
2016-01-13,0.472,213,308,2042,44%,43%,12.58%,12.89%,11.61%,9726,7458,65052,14,12.4,14241,1107,821,286,1934,11289,500,1465,37619,24034,1310,1226,29399,4260,928,39,17,4660,586,453,133,1146,0,0,0,990278
