,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_time_on_site_returning,nb_actions_per_visit_returning,bounce_rate_returning,avg_time_on_site_new,nb_actions_per_visit_new,bounce_rate_new,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2019-01-01,4445,4670,14,11064,77,2670,469843,3109,268,904,389,0,10,3,109,134,195,0,0%,0%,0%,0%,0%,1298,898,0,19.23%,8263,6420,1190,1000,783,673,828,500,8129,1.29,57%,2.4,101,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-02,9451,10162,70,26667,135,5132,1640056,7061,190,1927,984,0,12,5,299,281,440,0,0%,0%,0%,0%,0%,2801,2112,0,20.78%,18342,14741,4417,3180,1940,1637,1968,500,18178,8.289,51%,2.6,161,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-03,11466,12382,82,33902,137,6013,1816774,8682,119,2321,1258,2,9,4,364,305,499,1,0%,0%,0%,0%,0%,3589,2577,0,20.81%,23379,18139,4912,4036,2594,2167,3017,500,23201,2.05,49%,2.7,147,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-04,10785,11642,91,31543,196,5643,1638117,8258,99,2177,1107,1,14,3,312,294,489,1,0%,0%,0%,0%,0%,3266,2406,0,20.67%,21765,17001,4606,3871,2323,1973,2849,500,21605,2.178,48%,2.7,141,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-05,6137,6459,19,15339,89,3613,681179,4777,55,1108,519,0,10,4,157,171,255,0,0%,0%,0%,0%,0%,1738,1251,0,19.37%,11161,8882,1790,1506,1098,938,1290,500,11019,1.743,56%,2.4,105,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-06,6686,7043,30,17935,156,3836,784680,5240,37,1187,579,0,9,4,154,192,286,0,0%,0%,0%,0%,0%,1966,1362,0,19.34%,13001,10030,2156,1803,1270,1051,1508,500,12831,1.595,54%,2.5,111,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-07,13815,14880,98,40613,193,7228,2065227,10693,112,2733,1341,1,11,6,406,334,570,1,0%,0%,0%,0%,0%,3995,2904,0,19.52%,27575,21513,6016,4895,3073,2546,3949,500,27354,2.378,49%,2.7,139,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-08,14666,15738,138,107896,7532,7808,2400750,10658,550,2984,1545,1,10,6,416,347,551,1,0%,0%,0%,0%,0%,4686,3112,0,19.77%,62399,45503,6717,5065,2879,2438,35901,500,29069,5.112,50%,6.9,153,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-09,14939,16412,314,475307,16530,7793,2705499,10947,473,3604,1385,3,13,6,457,360,616,1,0%,0%,0%,0%,0%,9084,3595,0,21.9%,258019,187779,6920,5568,3117,2643,207251,500,30724,2.47,47%,29,165,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-10,14023,15405,322,467877,8410,7298,2558850,10556,161,3345,1334,9,13,4,435,322,547,1,0%,0%,0%,0%,0%,8450,3413,0,22.16%,254319,180179,6681,4950,2833,2383,204042,500,26896,5.594,47%,30.4,166,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-11,12453,13697,182,357145,15555,6490,2343001,9300,93,3042,1257,5,11,4,358,291,459,1,0%,0%,0%,0%,0%,6587,2981,0,21.76%,226197,150073,5968,4605,2553,2131,122427,500,25327,4.526,47%,26.1,171,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-12,6353,6738,56,126967,20920,3446,901983,4844,57,1235,602,0,11,4,173,180,268,0,0%,0%,0%,0%,0%,3172,1452,0,21.55%,77971,53586,2330,1943,1249,1056,45417,500,12412,0.822,51%,18.8,134,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-13,7148,7606,54,142605,21634,3894,989905,5469,43,1411,683,0,12,4,156,215,353,0,0%,0%,0%,0%,0%,3549,1615,0,21.23%,84316,61633,2502,2099,1435,1193,54352,500,14018,0.863,51%,18.7,130,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-14,15921,17319,174,237465,5964,8124,2716916,12404,124,3359,1432,0,12,5,479,361,612,0,0%,0%,0%,0%,0%,6900,3629,0,20.95%,132724,103069,7284,5968,3532,2955,93925,500,34200,1.478,47%,13.7,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-15,16422,17733,201,341286,17715,8679,2775793,12202,89,3535,1907,0,15,5,520,361,616,0,0%,0%,0%,0%,0%,5534,3422,0,19.3%,182035,130988,7547,6089,3320,2794,148384,500,33402,2.135,49%,19.2,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-16,18418,19739,135,270094,46839,10900,2576236,10428,85,3871,5355,0,13,5,407,355,599,0,0%,0%,0%,0%,0%,5704,3037,0,15.39%,156851,112883,7374,5434,2866,2418,103003,500,32537,5.293,55%,13.7,131,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-17,15708,17001,154,293255,39236,8220,2568727,11768,72,3222,1938,1,17,5,512,384,634,1,0%,0%,0%,0%,0%,7247,3586,0,21.09%,170571,123186,6967,5573,3203,2671,112514,500,31812,2.205,48%,17.2,151,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-18,12377,13386,133,197873,14128,6551,2150912,9121,44,2788,1431,2,10,3,384,340,516,1,0%,0%,0%,0%,0%,4983,2725,0,20.36%,112039,81488,5786,4434,2402,2024,77646,500,24660,3.74,49%,14.8,161,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-19,6217,6590,43,68689,11201,3448,901761,4773,55,1218,543,1,11,4,167,200,274,1,0%,0%,0%,0%,0%,2598,1431,0,21.71%,44075,33368,2057,1726,1296,1104,21261,500,12092,1.716,52%,10.4,137,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-20,7002,7430,60,142665,24754,3876,970682,5495,31,1308,595,1,13,5,192,205,311,1,0%,0%,0%,0%,0%,3655,1571,0,21.14%,78720,59133,2390,2015,1442,1167,60113,500,13866,1.626,52%,19.2,131,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-21,14622,15917,145,242738,19888,7474,2638607,11253,63,3278,1323,0,13,4,460,367,614,0,0%,0%,0%,0%,0%,6479,3378,0,21.22%,123259,93635,6832,5317,3071,2610,109576,500,29750,3.812,47%,15.3,166,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-22,15227,16535,206,314964,20097,7920,2630361,11828,74,3295,1336,2,10,4,497,364,596,2,0%,0%,0%,0%,0%,7702,3531,0,21.35%,158016,118667,6704,5226,3191,2662,147053,500,30021,3.422,48%,19,159,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-23,15675,16983,152,285329,26878,8539,2662139,11727,90,3764,1402,0,13,7,503,389,640,0,0%,0%,0%,0%,0%,5198,3420,0,20.14%,151806,105373,6339,5361,3378,2835,123806,500,33250,0.774,50%,16.8,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-24,15832,17088,171,294249,31619,8448,2591395,11893,62,3837,1294,2,15,6,515,372,591,2,0%,0%,0%,0%,0%,6472,3409,0,19.95%,166638,118986,6725,5711,3330,2807,117556,500,33349,0.849,49%,17.2,152,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-25,13106,14183,143,245663,21567,6740,2295322,10122,74,2899,1088,0,14,5,463,305,498,0,0%,0%,0%,0%,0%,5563,2887,0,20.36%,136478,98258,5654,4759,2725,2327,100806,500,28148,0.927,48%,17.3,162,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-26,5380,5697,42,113167,51785,2997,726490,4013,172,1058,454,0,10,5,149,170,241,0,0%,0%,0%,0%,0%,2633,1214,0,21.31%,64984,43910,1731,1468,1050,885,45402,500,10470,0.855,53%,19.9,128,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-27,7442,7922,43,141844,67919,4176,1011030,5754,120,1444,604,0,14,6,215,208,316,0,0%,0%,0%,0%,0%,3286,1743,0,22%,72819,46749,2561,2163,1467,1252,64997,500,14903,0.874,53%,17.9,128,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-01-28,15524,16838,155,277336,39257,8198,2797777,12094,119,3245,1380,0,12,6,460,369,607,0,0%,0%,0%,0%,0%,6206,3477,0,20.65%,139726,96615,7140,5670,3347,2810,127123,500,32975,1.936,49%,16.5,166,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
