date,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2018-01-01,0.608,140,190,1951,54%,58%,40.43%,41.56%,34.48%,23455,3061,72556,20,8.8,5094,2077,1803,274,477,6620,500,1108,47103,23868,408,968,28981,3437,482,15,5,3636,1470,1270,200,580,0,0,0,509383
2018-01-02,0.577,155,222,4312,48%,49%,42.1%,42.15%,41.92%,9616,9616,78375,8.8,8.1,16172,4860,3793,1067,1554,17379,500,3021,51357,22443,1343,2658,38568,8286,1655,53,28,8948,3767,2934,833,1987,0,0,0,1388705
2018-01-03,0.537,155,235,4636,47%,46%,40.18%,40.14%,40.31%,111,111,29372,3,3.6,8814,5017,3788,1229,1995,20492,500,3468,21137,2772,1732,3034,16089,9139,1997,40,29,9905,3980,3004,976,2421,0,0,0,1538731
2018-01-04,0.54,164,253,5375,48%,47%,38.58%,37.81%,41.08%,8957,161,46609,4.1,3.6,9732,5530,4108,1422,2179,22570,500,3891,31655,8884,1918,3354,21850,10431,2199,45,24,11259,4344,3248,1096,2668,0,0,0,1848788
2018-01-05,1.123,164,248,5306,48%,50%,37.99%,37.31%,40.18%,12496,3351,486361,43.8,4.8,12571,5839,4505,1334,2093,23354,500,3497,278453,202317,1804,3052,198673,10161,2134,177,40,11112,4222,3162,1060,2638,0,0,0,1819474
2018-01-06,0.662,135,173,3115,52%,55%,34.77%,34.86%,34.34%,19217,2735,223384,37.1,6.7,6701,3035,2604,431,742,10648,500,1668,118175,102799,644,1473,84029,5681,843,81,11,6022,2094,1753,341,993,0,0,0,811774
2018-01-07,0.627,138,204,3208,52%,54%,36.98%,37.23%,35.66%,12557,6530,113110,18.3,9.7,9616,3248,2730,518,856,11503,500,1835,67735,42684,740,1636,44615,5850,823,24,8,6187,2288,1936,352,987,0,0,0,851609
2018-01-08,0.708,164,233,5727,47%,47%,39.86%,38.96%,42.57%,11320,716,220845,18.3,4,11911,6340,4780,1560,2530,24152,500,3897,126410,88008,2207,3407,94703,11118,2505,85,37,12083,4816,3533,1283,3014,0,0,0,1978555
2018-01-09,0.665,179,266,5683,47%,44%,39.22%,37.77%,43.55%,13195,2620,220085,18.4,4.7,14135,5903,4323,1580,2611,24750,500,3882,124351,89241,2321,3428,91022,11020,2487,83,31,11982,4699,3395,1304,2994,0,0,0,2141080
2018-01-10,0.762,184,260,5269,47%,45%,41.09%,40.6%,42.49%,10317,1867,201948,18.1,4.7,13453,5821,4330,1491,2738,23501,500,3896,106796,88518,2353,3337,78050,10277,2431,73,35,11186,4596,3374,1222,2876,0,0,0,2062131
2018-01-11,0.744,177,275,5279,47%,45%,40.71%,40.15%,42.38%,10034,3694,223156,19.8,5.3,15216,5908,4414,1494,2417,23547,500,3684,127654,89401,2111,3234,93366,10353,2397,88,22,11254,4582,3369,1213,2862,0,0,0,1992061
2018-01-12,0.663,187,289,4615,47%,46%,41.19%,40.87%,42.11%,17017,2486,182364,18.5,5.2,13344,5262,3956,1306,2101,23301,500,3348,96479,80436,1850,2917,70781,9095,2180,78,22,9844,4055,2977,1078,2560,0,0,0,1845257
2018-01-13,0.691,162,242,2434,51%,52%,39.7%,40.28%,36.97%,11036,3422,95709,20.2,7.7,6344,2630,2206,424,848,9298,500,1446,53938,39477,712,1211,37494,4468,699,24,6,4728,1877,1572,305,825,0,0,0,764454
2018-01-14,0.623,143,173,3013,52%,54%,38.29%,38.39%,37.82%,22761,1378,108623,18.9,5.2,4867,3142,2710,432,937,10873,500,1639,66652,39395,839,1436,42292,5485,826,17,6,5758,2205,1851,354,936,0,0,0,825360
2018-01-15,0.531,174,229,5671,47%,45%,39.47%,38.62%,41.96%,8325,4661,113749,9.4,5,15266,5970,4397,1573,2659,25261,500,3765,71526,35799,2318,3263,52171,11196,2561,65,33,12132,4788,3504,1284,3060,0,0,0,2114138
2018-01-16,0.574,188,267,5589,47%,47%,38.88%,38.36%,40.45%,15527,4494,159258,13.4,6.4,19255,5765,4300,1465,2614,25126,500,4062,89308,63274,2285,3490,68322,11010,2507,94,35,11925,4637,3427,1210,2991,0,0,0,2236603
2018-01-17,0.505,175,246,5497,47%,47%,40.66%,40.45%,41.33%,17751,1376,194290,16.7,4.3,12241,6004,4558,1446,2518,25147,500,3742,109651,78379,2170,3248,82449,10801,2436,108,31,11654,4739,3552,1187,2872,0,0,0,2043975
2018-01-18,1.305,181,265,5292,47%,45%,39.41%,38.61%,41.82%,28703,18434,397489,35,10.5,29553,5784,4373,1411,2626,24075,500,3676,208388,182799,2247,3163,153683,10406,2365,138,37,11348,4472,3291,1181,2824,0,0,0,2051774
2018-01-19,0.749,187,262,4651,46%,47%,39.39%,38.76%,41.28%,11937,4165,214060,21.3,6.8,17228,5141,3859,1282,2176,23158,500,3382,117627,90875,1859,2955,87167,9361,2183,70,21,10070,3967,2916,1051,2546,0,0,0,1878256
2018-01-20,0.626,150,209,2530,50%,53%,35.41%,34.96%,37.65%,13468,4962,101698,20.1,9.3,7902,2487,2050,437,894,9668,500,1497,58977,40330,762,1274,38734,4808,729,27,4,5069,1795,1475,320,850,0,0,0,758500
2018-01-21,0.632,141,237,3134,50%,50%,34.87%,34.52%,36.73%,16147,1845,121069,19.4,5.4,5276,2896,2459,437,1137,11907,500,1790,67821,50321,988,1568,44399,5926,834,29,3,6243,2177,1817,360,980,0,0,0,879364
2018-01-22,0.767,169,241,6591,48%,47%,35.65%,34.01%,40.98%,13088,1853,239230,17.4,4.7,15162,6020,4478,1542,2632,28957,500,4352,127732,104514,2290,3789,92889,12690,2733,95,36,13713,4888,3571,1317,3214,0,0,0,2313987
2018-01-23,0.754,160,232,6672,48%,46%,34.87%,33.4%,39.79%,12064,1199,247161,17.8,4.2,13446,5973,4483,1490,2773,27415,500,4344,135033,105011,2421,3817,94677,12948,2709,73,28,13893,4844,3579,1265,3179,0,0,0,2218467
2018-01-24,0.755,168,240,5844,48%,46%,36.82%,35.37%,41.31%,17368,2081,225103,18.4,4.7,13870,5599,4161,1438,2684,25223,500,3996,126508,91915,2340,3502,86838,11273,2468,61,18,12212,4496,3267,1229,2975,0,0,0,2052428
2018-01-25,0.753,171,246,5931,47%,45%,35.99%,34.46%,40.55%,30909,7663,242208,19.2,6.5,20573,5666,4144,1522,2486,26829,500,4305,128300,107117,2147,3767,82572,11640,2637,70,25,12614,4540,3253,1287,3174,0,0,0,2161162
2018-01-26,0.59,154,252,6034,50%,46%,36.08%,34.62%,41.17%,4400,4400,109480,9.1,5.3,14199,5318,4018,1300,2312,24875,500,3649,65405,38114,2029,3139,50363,11208,2291,76,34,12009,4333,3230,1103,2679,0,0,0,1854066
2018-01-27,0.827,105,172,4309,58%,52%,32.25%,32.09%,33.33%,12108,66,200128,26.8,3.1,3024,3202,2760,442,1272,12832,500,1605,108705,88546,1124,1375,73187,7127,849,57,4,7475,2411,2085,326,978,0,0,0,784857
2018-01-28,0.687,126,215,3057,52%,50%,35.13%,34.72%,37.17%,9032,5152,115855,19.7,8.8,8655,2754,2260,494,965,10949,500,1571,70177,43142,848,1398,50309,5592,857,31,6,5879,2065,1700,365,982,0,0,0,741565
2018-01-29,0.754,188,269,6010,47%,45%,37.65%,36.53%,41.01%,15801,2039,230197,18.1,4.6,14580,6056,4430,1626,2540,26758,500,4147,118827,104683,2213,3626,88306,11774,2706,81,31,12713,4787,3482,1305,3182,0,0,0,2383988
2018-01-30,0.827,179,261,5902,47%,46%,38.33%,37.42%,41.02%,22639,1896,242567,19.5,4.8,15129,6093,4467,1626,2636,27046,500,4257,131121,104553,2263,3709,92613,11539,2692,79,30,12450,4772,3481,1291,3147,0,0,0,2232467
2018-01-31,1.388,192,258,5461,45%,46%,37.82%,36.7%,41.24%,15551,2952,235832,19.6,4.8,14236,5880,4374,1506,2508,26347,500,3754,134268,95301,2154,3284,100554,11107,2550,90,34,12015,4544,3318,1226,2973,0,0,0,2305307
2018-02-01,0.868,176,241,5727,48%,48%,37.46%,36.29%,40.61%,15286,2940,225213,18.9,4.8,15359,5672,4078,1594,2453,25299,500,3797,125647,93316,2173,3293,93322,10968,2733,94,34,11911,4462,3153,1309,3223,0,0,0,2090547
2018-02-02,0.756,178,247,4618,47%,46%,39.68%,39.06%,41.52%,18745,1331,187470,18.9,4.2,10658,4919,3700,1219,2090,22151,500,3484,102306,79590,1825,2914,74310,9186,2168,71,22,9901,3929,2886,1043,2512,0,0,0,1757498
2018-02-03,0.667,149,218,2483,50%,50%,36.16%,36.2%,35.99%,11002,1082,103463,20.8,5,4259,2453,2070,383,806,10055,500,1546,61413,39698,700,1330,41470,4697,734,28,6,4986,1803,1496,307,853,0,0,0,742380
2018-02-04,0.638,177,227,2833,50%,51%,35.81%,35.57%,37.06%,14296,5168,116648,20.7,9.4,8585,2892,2417,475,879,11387,500,1683,68803,45283,773,1447,47313,5343,781,31,8,5638,2019,1681,338,912,0,0,0,1000281
2018-02-05,0.817,193,248,5686,46%,45%,38.91%,37.5%,42.85%,23658,1674,243759,19.9,4.4,14287,6030,4415,1615,2664,26003,500,4055,135000,102040,2305,3454,93130,11253,2706,79,26,12269,4774,3386,1388,3239,0,0,0,2365410
2018-02-06,1.028,177,258,5533,47%,45%,38.7%,37.61%,41.91%,11689,2422,225051,19,4.8,14560,5878,4403,1475,2675,25072,500,4039,124018,94319,2318,3384,89606,10887,2534,101,38,11854,4588,3324,1264,3016,0,0,0,2097855
2018-02-07,0.713,180,268,5462,47%,44%,38.47%,36.78%,43.37%,24733,1473,239571,20.8,5,14768,5738,4181,1557,2413,24458,500,3806,133817,99535,2105,3276,95401,10624,2494,103,38,11518,4431,3149,1282,2956,0,0,0,2073347
2018-02-08,0.684,180,257,5354,46%,45%,38.95%,37.74%,42.4%,11002,3301,249471,21.6,5,15018,5659,4142,1517,2461,24664,500,3832,151509,91669,2150,3309,97438,10525,2461,84,42,11530,4491,3224,1267,2988,0,0,0,2081081
2018-02-09,0.687,168,244,4677,46%,44%,40.44%,38.7%,45.41%,10473,1607,193396,19.1,4.7,12424,5253,3786,1467,2210,23282,500,3463,105896,81827,1936,2946,74815,9323,2234,94,45,10123,4094,2898,1196,2634,0,0,0,1696696
2018-02-10,0.644,141,224,2256,50%,52%,37.63%,37.45%,38.43%,13943,3213,98584,22,7.3,6224,2306,1886,420,781,9056,500,1309,60470,36024,679,1122,41375,4201,718,37,12,4488,1689,1362,327,851,0,0,0,634707
2018-02-11,0.622,146,256,2578,50%,48%,37.4%,37.06%,38.85%,13972,4226,110080,21.3,8.2,7992,2694,2171,523,972,10473,500,1594,63018,44496,830,1350,46255,4850,818,37,10,5161,1930,1552,378,973,0,0,0,755249
2018-02-12,0.877,180,257,5187,46%,44%,39.43%,39.04%,40.47%,43627,6789,192850,17,5.9,18058,5607,4060,1547,2595,24079,500,3662,114410,72183,2231,3238,86631,10461,2568,72,35,11375,4485,3245,1240,3064,0,0,0,2049172
2018-02-13,0.702,192,289,5301,45%,42%,40.51%,38.86%,45.05%,13172,3012,293436,24.8,5.6,17535,6307,4569,1738,2783,26315,500,3963,164056,122634,2439,3419,121527,10778,2609,128,62,11822,4789,3370,1419,3150,0,0,0,2272088
2018-02-14,0.808,176,269,5201,46%,44%,37.39%,35.62%,42.18%,10318,4716,220655,19.6,5.5,16703,5506,3928,1578,2437,23660,500,3647,123864,90707,2134,3169,90898,10341,2511,97,41,11271,4214,2935,1279,3032,0,0,0,1979943
2018-02-15,1.231,182,278,5079,46%,44%,38.44%,37.18%,41.92%,13240,3513,221715,20.2,5.2,14979,5344,3883,1461,2544,23398,500,3595,118112,97464,2208,3146,85693,10103,2451,74,29,10974,4218,2999,1219,2908,0,0,0,1996316
2018-02-16,1.268,189,275,4274,46%,45%,38.36%,36.84%,42.29%,14563,5306,191440,20.7,6.4,16628,4442,3103,1339,2437,22192,500,3238,107067,78698,2025,2854,80180,8509,2173,85,35,9238,3544,2452,1092,2582,0,0,0,1744873
2018-02-17,0.798,149,195,2104,50%,51%,35.11%,34.83%,36.41%,11467,2605,112603,26.6,7.5,5638,2060,1734,326,813,8448,500,1262,68965,41563,709,1078,47805,3969,634,31,7,4233,1486,1214,272,747,0,0,0,628708
2018-02-18,0.763,192,293,2373,49%,49%,34.88%,34.12%,38.69%,11723,4437,116573,23.9,9.6,7754,2483,2032,451,982,10498,500,1466,68009,46116,843,1266,50787,4638,708,32,5,4883,1703,1390,313,809,0,0,0,935252
2018-02-19,1.183,179,261,5072,46%,44%,39.13%,37.93%,42.37%,9851,8098,87091,7.9,6.5,19503,5317,3779,1538,2693,23979,500,3601,56732,24065,2329,3164,41125,10131,2483,52,39,11025,4314,3051,1263,2981,0,0,0,1973226
