date,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,bounce_rate_new,nb_actions_per_visit_new,avg_time_on_site_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,bounce_rate_returning,nb_actions_per_visit_returning,avg_time_on_site_returning,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site
2020-01-01,8265,8737,31,21244,229,5280,988747,7946,18391,7944,15,91,61%,2.3,93,791,2853,664,19,229,58%,3.6,312,5117,74,2747,798,1,13,4,146,200,309,1,0%,0%,0%,0%,0%,330,325,0,3.72%,281,277,0,3.49%,49,48,0,6.07%,15489,11918,2160,1712,1612,1306,1983,500,15248,1.24,60%,2.4,113
2020-01-02,15930,17141,67,47730,167,9045,2211471,15286,40688,15285,47,156,53%,2.7,113,1855,7042,1475,29,167,50%,3.8,259,10823,136,4453,1727,2,13,6,441,358,580,2,0%,0%,0%,0%,0%,1034,1004,0,5.86%,871,849,0,5.55%,163,155,0,8.36%,33603,25223,5812,4752,3569,3009,4746,500,33273,0.628,53%,2.8,129
2020-01-03,16601,17824,80,49745,181,9445,2378528,15572,40782,15570,44,155,54%,2.6,115,2252,8963,1811,40,181,47%,4,262,11127,166,4553,1976,2,14,5,435,363,643,1,0%,0%,0%,0%,0%,1071,1047,0,5.87%,835,820,0,5.27%,236,227,0,10.08%,35321,26474,5904,4879,3702,3159,4818,500,34994,0.641,53%,2.8,133
2020-01-04,11620,12404,43,32865,143,6982,1487997,10905,27686,10901,26,125,57%,2.5,104,1499,5179,1249,23,143,54%,3.5,236,7426,153,3439,1386,0,13,5,249,273,510,0,0%,0%,0%,0%,0%,562,558,0,4.5%,473,470,0,4.31%,89,88,0,5.87%,23953,17819,3346,2699,2419,1973,3147,500,23661,0.663,56%,2.6,120
2020-01-05,12639,13537,35,36908,111,7471,1731334,11820,30571,11818,18,111,56%,2.6,106,1717,6337,1363,20,96,52%,3.7,277,8474,147,3600,1316,0,13,7,311,271,488,0,0%,0%,0%,0%,0%,626,620,0,4.58%,509,503,0,4.26%,117,117,0,6.81%,26338,19678,4096,3310,2630,2169,3844,500,25938,0.669,55%,2.7,128
2020-01-06,22869,24628,130,74625,130,12149,3572193,21577,63549,21572,90,96,50%,2.9,131,3051,11076,2438,54,130,48%,3.6,242,15875,124,6174,2454,1,12,7,658,450,795,1,0%,0%,0%,0%,0%,1595,1565,0,6.35%,1321,1299,0,6.02%,274,266,0,8.72%,51620,37984,9861,7730,5426,4529,7718,500,51239,0.631,49%,3,145
2020-01-07,22790,24636,132,76773,218,12109,3735351,21009,62863,21004,71,118,49%,3,134,3627,13910,2938,72,218,47%,3.8,253,15671,111,6324,2529,1,13,5,649,444,786,1,0%,0%,0%,0%,0%,1729,1700,0,6.9%,1392,1373,0,6.54%,337,327,0,9.02%,52326,38573,10299,7699,5422,4482,8726,500,51996,0.629,49%,3.1,152
2020-01-08,21426,23150,141,72934,199,11652,3575986,19443,58375,19440,67,177,51%,3,135,3707,14559,2948,81,199,47%,3.9,255,14704,100,6061,2282,3,12,6,629,424,764,2,0%,0%,0%,0%,0%,1512,1472,0,6.36%,1180,1150,0,5.91%,332,322,0,8.69%,49968,37176,9690,7492,4600,3928,8676,500,49612,0.623,50%,3.2,154
2020-01-09,22164,23796,109,71727,225,12088,3436451,20063,57327,20058,49,130,51%,2.9,126,3733,14400,3069,73,225,47%,3.9,245,15175,159,6099,2362,1,14,5,643,428,763,1,0%,0%,0%,0%,0%,1530,1497,0,6.29%,1197,1175,0,5.86%,333,322,0,8.63%,49198,36683,9555,7425,4908,4051,8066,500,48852,0.672,51%,3,144
2020-01-10,19940,21463,110,65163,388,10606,3272732,17922,52596,17922,43,135,50%,2.9,136,3541,12567,2874,73,388,47%,3.5,234,13889,76,5520,1978,0,14,7,590,382,669,0,0%,0%,0%,0%,0%,1477,1453,0,6.77%,1139,1122,0,6.26%,338,331,0,9.35%,44238,33177,9366,7108,4258,3643,7301,500,43889,0.688,49%,3,152
