date,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,bounce_rate_new,nb_actions_per_visit_new,avg_time_on_site_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,bounce_rate_returning,nb_actions_per_visit_returning,avg_time_on_site_returning,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_page_load_time,PagePerformance_network_time,PagePerformance_network_hits,PagePerformance_servery_time,PagePerformance_server_hits,PagePerformance_transfer_time,PagePerformance_transfer_hits,PagePerformance_domprocessing_time,PagePerformance_domprocessing_hits,PagePerformance_domcompletion_time,PagePerformance_domcompletion_hits,PagePerformance_onload_time,PagePerformance_onload_hits,PagePerformance_pageload_time,PagePerformance_pageload_hits,avg_time_network,avg_time_server,avg_time_transfer,avg_time_dom_processing,avg_time_dom_completion,avg_time_on_load
2021-01-01,17769,18903,30,47738,134,9744,1844173,14382,33957,14382,3,63,53%,2.4,80,4521,13781,3888,27,134,45%,3,155,12859,61,4363,1619,1,14,7,201,241,407,1,0%,0%,0%,0%,0%,2,2,0,0.01%,0,0,0,0%,2,1,0,0.02%,32847,25441,6030,4623,4829,3928,4032,500,32675,0.359,52%,2.5,98,0,,,,,,,,,,,,,,,,,,,,
2021-01-02,22769,24203,32,63594,155,12098,2474352,18631,45665,18631,2,96,52%,2.5,85,5572,17929,4815,30,155,44%,3.2,161,16711,67,5290,2135,0,18,4,249,308,520,0,0%,0%,0%,0%,0%,3,3,0,0.01%,0,0,0,0%,3,3,0,0.05%,43032,33249,8114,6270,6407,5246,6041,500,42847,0.352,50%,2.6,102,0,,,,,,,,,,,,,,,,,,,,
2021-01-03,25201,26757,43,69759,122,13383,2775116,20627,50959,20627,6,122,52%,2.5,86,6130,18800,5297,39,110,43%,3.1,164,18085,155,6016,2501,0,14,6,265,337,566,0,0%,0%,0%,0%,0%,5,5,0,0.02%,1,1,0,0%,4,4,0,0.07%,47466,37063,9154,7297,6835,5583,6304,500,47236,0.335,50%,2.6,104,0,,,,,,,,,,,,,,,,,,,,
2021-01-04,37722,40481,138,110938,315,19935,5062644,29475,74820,29475,52,137,51%,2.5,102,11006,36118,9414,100,315,43%,3.3,187,26599,163,9381,4338,0,14,6,507,526,900,0,0%,0%,0%,0%,0%,1698,1691,0,4.18%,1098,1053,0,3.57%,600,580,0,5.27%,75523,58712,14898,11447,9853,8339,10664,500,75314,0.343,49%,2.7,125,0,,,,,,,,,,,,,,,,,,,,
2021-01-05,38915,41562,157,112585,289,21285,4960489,30529,77690,30529,55,289,53%,2.5,99,11033,34895,9491,110,153,46%,3.2,175,27026,173,9366,4997,0,14,6,492,549,927,0,0%,0%,0%,0%,0%,2017,2010,0,4.84%,1281,1246,0,4.08%,736,714,0,6.47%,77667,60543,14287,10618,9670,8146,10961,500,77457,0.347,51%,2.7,119,0,,,,,,,,,,,,,,,,,,,,
2021-01-06,37772,40367,142,103158,106,21056,4559061,29583,70897,29583,53,106,54%,2.4,92,10784,32261,9359,100,94,47%,3,171,26927,97,8935,4408,0,14,5,507,483,843,0,0%,0%,0%,0%,0%,1845,1840,0,4.56%,1167,1157,0,3.91%,678,674,0,6.25%,71969,56618,12774,9969,9147,7648,9268,500,71779,0.372,52%,2.6,113,0,,,,,,,,,,,,,,,,,,,,
2021-01-07,40399,43068,159,109308,170,23110,4721771,32065,76529,32065,53,127,56%,2.4,87,11003,32779,9440,116,170,46%,3,174,28484,191,10244,4149,0,15,6,545,506,890,0,0%,0%,0%,0%,0%,1918,1907,0,4.43%,1228,1186,0,3.7%,690,671,0,6.1%,76807,60612,13046,10087,9040,7689,10415,500,76592,0.356,54%,2.5,110,0,,,,,,,,,,,,,,,,,,,,
2021-01-08,39671,42334,168,109098,1278,23003,4594746,31512,74403,31512,50,236,57%,2.4,87,10822,34695,9222,129,1278,45%,3.2,171,27029,193,11335,3777,0,15,6,506,469,794,0,0%,0%,0%,0%,0%,1815,1806,0,4.27%,1157,1148,0,3.64%,658,654,0,6.04%,77053,60352,12478,9570,9544,7607,10023,500,76854,0.362,54%,2.6,109,0,,,,,,,,,,,,,,,,,,,,
2021-01-09,27481,28879,64,67354,164,16667,2704763,22923,48940,22923,23,92,60%,2.1,75,5956,18414,5248,42,164,49%,3.1,167,18226,130,8220,2303,0,15,4,262,339,561,0,0%,0%,0%,0%,0%,832,822,0,2.85%,577,541,0,2.36%,255,233,0,3.91%,48544,38718,6329,4939,6474,5315,6007,500,48366,0.377,58%,2.3,94,0,,,,,,,,,,,,,,,,,,,,
2021-01-10,28617,30160,73,72408,215,16726,2906926,23819,54239,23819,32,215,57%,2.3,81,6341,18169,5549,46,89,50%,2.9,155,19474,129,6785,3772,0,15,6,291,352,594,0,0%,0%,0%,0%,0%,1099,1091,0,3.62%,829,815,0,3.42%,270,264,0,4.16%,51156,40482,7073,5554,6907,5600,7272,500,50950,0.366,55%,2.4,96,0,,,,,,,,,,,,,,,,,,,,
